scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9408393039918117,0.2,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,7.159747199999401,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9408393039918117,0.2,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,7.159747199999401,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9365404298874105,0.2,1,fixed,0.7930201292037964,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,0.00036020000698044896,1.1125897000019904,0.0004,0.8194860987274054,0.9984199091447759,0.9001469082491207,0.986637749250223,39984,16,2227,10110,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.7325340096841134,4337,0.99325,4000,0.74,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9365404298874105,0.2,1,recalibrated,0.22284391522407532,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,0.00036020000698044896,1.1125897000019904,0.007075,0.8628515846640188,0.9741032210834554,0.9151085321298088,0.986637749250223,39717,283,1692,10645,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.8256859580355084,4337,0.996,4000,0.77,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9420675537359263,0.2,2,fixed,0.7930201292037964,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,0.00015639999764971435,0.8598285999905784,0.000275,0.8257274864229553,0.9989213571288488,0.904104725981806,0.9877827409418821,39989,11,2150,10187,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.7521328106986396,4337,0.991,4000,0.74025,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9420675537359263,0.2,2,recalibrated,0.3958354890346527,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,0.00015639999764971435,0.8598285999905784,0.0092,0.8562049120531734,0.9663342786570305,0.9079422382671479,0.9877827409418821,39632,368,1774,10563,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.8116209361309661,4337,0.9955,4000,0.76525,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9363357215967246,0.2,3,fixed,0.7930201292037964,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,0.00013259999104775488,0.8346316999814007,0.00045,0.8223230931344735,0.9982288694283185,0.9017777777777778,0.9883981113722947,39982,18,2192,10145,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.736914918146184,4337,0.99425,4000,0.743,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9363357215967246,0.2,3,recalibrated,0.3193597197532654,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,0.00013259999104775488,0.8346316999814007,0.009975,0.8620410148334279,0.9638390429581294,0.9101022634889392,0.9883981113722947,39601,399,1702,10635,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.815771270463454,4337,0.9955,4000,0.77875,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9392016376663255,0.2,4,fixed,0.7930201292037964,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,7.660000119358301e-05,0.9314174999890383,0.000375,0.8225662640836509,0.998524057856932,0.9020444444444443,0.9906868718083813,39985,15,2189,10148,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.7387595111828453,4337,0.994,4000,0.742,4000,,1.0,cicids,,,,,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,sharecap_c0.1,0.1,0.9392016376663255,0.2,4,recalibrated,0.28069791197776794,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,7.660000119358301e-05,0.9314174999890383,0.00945,0.8652832941557915,0.9658011399620012,0.9127832407011542,0.9906868718083813,39622,378,1662,10675,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.8118515102605488,4337,0.99575,4000,0.79275,4000,,1.0,cicids,,,,,,,
